"fileid","order","species","common_name","study_site","captivity","sex","age","measure","data_location","countbinary","repeat_group","groupid","matrix_edgelist","edgelist_time_meaning","note","full_citation","number_individuals","number_interactions","interactions_per_individual","proportion_unknown","dci","ttri","ds_steepness","modified_landaus_h"
"Adcock_2015a","Artiodactyla","Sus_scrofa","Yucatan minipigs","Canada","Captive","F","Adult","fight or displacement wi/ submission","S3","Count","No","Sus_scrofa2","Matrix","","","Sarah J.J. Adcock, Gerard M. Martin, Carolyn J. Walsh, The stress response and exploratory behaviour in Yucatan minipigs (Sus scrofa): Relations to sex and social rank, Physiology & Behavior, Volume 152, Part A, 1 December 2015, Pages 194-202, ISSN 0031-9384, http://dx.doi.org/10.1016/j.physbeh.2015.09.033",10,149,14.9,0.177777777777778,0.89261744966443,1,0.703441558441559,0.727682424242424
"Adcock_2015b","Artiodactyla","Sus_scrofa","Yucatan minipigs","Canada","Captive","M","Adult","fight or displacement wi/ submission","S4","Count","No","Sus_scrofa1","Matrix","","","Sarah J.J. Adcock, Gerard M. Martin, Carolyn J. Walsh, The stress response and exploratory behaviour in Yucatan minipigs (Sus scrofa): Relations to sex and social rank, Physiology & Behavior, Volume 152, Part A, 1 December 2015, Pages 194-202, ISSN 0031-9384, http://dx.doi.org/10.1016/j.physbeh.2015.09.033",10,63,6.3,0.333333333333333,0.80952380952381,1,0.496839826839827,0.407522424242424
"Alados_1992a","Artiodactyla","Nanger_dama","Dama gazelle","Spain","Captive","F","Adult","agonistic interaction","Tb1","Count","No","Nanger_dama1","Matrix","","data collected over 3 years; 261's rise in rank is reflected in matrix","Alados, C. L., & Escós, J. M. (1992). The determinants of social status and the effect of female rank on reproductive success in Dama and Cuvier's gazelles. Ethology ecology & evolution, 4(2), 151-164.",7,298,42.5714285714286,0,0.812080536912752,1,0.87089220303506,1
"Alados_1992b","Artiodactyla","Nanger_dama","Dama gazelle","Spain","Captive","F","Adult","agonistic interaction","Tb1","Count","No","Nanger_dama2","Matrix","","data collected over 3 years; 254's rise in rank is reflected in matrix","Alados, C. L., & Escós, J. M. (1992). The determinants of social status and the effect of female rank on reproductive success in Dama and Cuvier's gazelles. Ethology ecology & evolution, 4(2), 151-164.",9,324,36,0.0277777777777778,0.796296296296296,0.792207792207792,0.819358555821684,0.800226666666667
"Alados_1992c","Artiodactyla","Nanger_dama","Dama gazelle","Spain","Captive","F","Adult","agonistic interaction","Tb1","Count","No","Nanger_dama3","Matrix","","data collected over 3 years","Alados, C. L., & Escós, J. M. (1992). The determinants of social status and the effect of female rank on reproductive success in Dama and Cuvier's gazelles. Ethology ecology & evolution, 4(2), 151-164.",7,270,38.5714285714286,0.0476190476190476,0.881481481481482,1,0.848590353578833,0.891057142857143
"Alados_1992d","Artiodactyla","Gazella_cuvieri","Cuvier's gazelle","Spain","Captive","F","Adult","agonistic interaction","Tb1","Count","No","Gazella_cuvieri1","Matrix","","","Alados, C. L., & Escós, J. M. (1992). The determinants of social status and the effect of female rank on reproductive success in Dama and Cuvier's gazelles. Ethology ecology & evolution, 4(2), 151-164.",8,666,83.25,0,0.963963963963964,1,0.979372643485547,1
"Alados_1992e","Artiodactyla","Gazella_cuvieri","Cuvier's gazelle","Spain","Captive","F","Adult","agonistic interaction","Tb1","Count","No","Gazella_cuvieri2","Matrix","","","Alados, C. L., & Escós, J. M. (1992). The determinants of social status and the effect of female rank on reproductive success in Dama and Cuvier's gazelles. Ethology ecology & evolution, 4(2), 151-164.",7,604,86.2857142857143,0,0.579470198675497,0.2,0.629528594160615,0.517857142857143
"Allee_1954","Carcharhiniformes","Mustelus_canis","Smooth dogfish","USA","Captive","MF","Adult","Avoidance","TB3","Count","No","Mustelus_canis1","Matrix","","","Allee, W. C. & Dickinson, J. C. 1954 Dominance and subordination in the smooth dogfish Mustelus canis (Mitchill). Phys. Zool. 27, 356-364.",10,267,26.7,0.377777777777778,0.880149812734082,1,0.44443016931389,0.661415757575758
"Anderson_2016a","Primates","Macaca_fuscata_fuscata","Japanese macaque","Canada","Captive","MF","Adult","Submissive/Dominant","T2.2","Count","No","Macaca_fuscata_fuscata1","Matrix","","","Anderson, E. (2016). The behaviour and welfare of zoo-housed Japanese macaques (Macaca fuscata) (Doctoral dissertation, Concordia University).",6,80,13.3333333333333,0.2,1,1,0.695238095238095,0.715474285714286
"Anderson_2016d","Primates","Macaca_fuscata_fuscata","Japanese macaque","Canada","Captive","MF","Adult","Submissive/Dominant","T2.5","Count","Yes","Macaca_fuscata_fuscata3","Matrix","","after rank change","Anderson, E. (2016). The behaviour and welfare of zoo-housed Japanese macaques (Macaca fuscata) (Doctoral dissertation, Concordia University).",9,105,11.6666666666667,0.388888888888889,1,1,0.464814814814815,0.65764
"Appleby_1983","Artiodactyla","Cervus_elaphus","Red deer","Scotland","Natural","M","Non-Adult","Dominance Behaviors","Fig1","Count","No","Cervus_elaphus1","Matrix","","","Appleby, M.C. 1983. The probability of linearity in hierarchies. Anim. Behav. 31, 600-608.",7,83,11.8571428571429,0.380952380952381,0.614457831325301,1,0.339926121963937,0.713057142857143
"Archie_2006a","Proboscidea","Loxodonta_africana","African elephant","Kenya","Natural","F","Mixed","Agonistic Interaction","Fig2-A","Count","No","Loxodonta_africana1","Matrix","","","Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117-127.",8,62,7.75,0.214285714285714,1,1,0.696428571428571,0.665842857142857
"Archie_2006b","Proboscidea","Loxodonta_africana","African elephant","Kenya","Natural","F","Mixed","Agonistic Interaction","Fig2-AA","Count","No","Loxodonta_africana2","Matrix","","","Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117-127.",10,48,4.8,0.555555555555556,0.958333333333333,1,0.292929292929293,0.447597575757576
"Archie_2006c","Proboscidea","Loxodonta_africana","African elephant","Kenya","Natural","F","Mixed","Agonistic Interaction","Fig2-CB","Count","No","Loxodonta_africana3","Matrix","","","Archie, E. A., Morrison, T. A., Foley, C. A. H., Moss, C. J. & Alberts, S.C. 2006 Dominance rank relationships among wild female African elephants, Loxodonta africana. Anim. Behav. 71, 117-127.",6,48,8,0.0666666666666667,0.833333333333333,1,0.786666666666667,1
